Date,SettlementPointPrice
2018-08-24 05:00:00,16.98
2018-08-24 05:15:00,17.45
2018-08-24 05:30:00,17.69
2018-08-24 05:45:00,18.03
2018-08-24 06:00:00,18.37
2018-08-24 06:15:00,18.81
2018-08-24 06:30:00,19.17
2018-08-24 06:45:00,19.29
2018-08-24 07:00:00,19.23
2018-08-24 07:15:00,18.97
2018-08-24 07:30:00,18.98
2018-08-24 07:45:00,18.97
2018-08-24 08:00:00,19.25
2018-08-24 08:15:00,19.54
2018-08-24 08:30:00,19.51
2018-08-24 08:45:00,19.48
2018-08-24 09:00:00,19.23
2018-08-24 09:15:00,19.2
2018-08-24 09:30:00,19.12
2018-08-24 09:45:00,18.55
2018-08-24 10:00:00,18.53
2018-08-24 10:15:00,18.95
2018-08-24 10:30:00,19.6
2018-08-24 10:45:00,19.88
2018-08-24 11:00:00,20.35
2018-08-24 11:15:00,20.92
2018-08-24 11:30:00,22.46
2018-08-24 11:45:00,23.93
2018-08-24 12:00:00,26.04
2018-08-24 12:15:00,27.16
2018-08-24 12:30:00,27.45
2018-08-24 12:45:00,28.8
2018-08-24 13:00:00,30.01
2018-08-24 13:15:00,30.0
2018-08-24 13:30:00,32.78
2018-08-24 13:45:00,34.81
2018-08-24 14:00:00,36.36
2018-08-24 14:15:00,38.8
2018-08-24 14:30:00,40.01
2018-08-24 14:45:00,41.09
2018-08-24 15:00:00,50.09
2018-08-24 15:15:00,52.46
2018-08-24 15:30:00,55.26
2018-08-24 15:45:00,115.53
2018-08-24 16:00:00,79.94
2018-08-24 16:15:00,70.12
2018-08-24 16:30:00,77.81
2018-08-24 16:45:00,75.2
2018-08-24 17:00:00,61.27
2018-08-24 17:15:00,56.86
2018-08-24 17:30:00,56.48
2018-08-24 17:45:00,53.35
2018-08-24 18:00:00,47.66
2018-08-24 18:15:00,43.7
2018-08-24 18:30:00,42.48
2018-08-24 18:45:00,41.08
2018-08-24 19:00:00,34.23
2018-08-24 19:15:00,41.73
2018-08-24 19:30:00,34.95
2018-08-24 19:45:00,31.95
2018-08-24 20:00:00,32.3
2018-08-24 20:15:00,32.61
2018-08-24 20:30:00,32.53
2018-08-24 20:45:00,30.62
2018-08-24 21:00:00,29.88
2018-08-24 21:15:00,28.48
2018-08-24 21:30:00,26.24
2018-08-24 21:45:00,24.46
2018-08-24 22:00:00,22.49
2018-08-24 22:15:00,21.91
2018-08-24 22:30:00,21.73
2018-08-24 22:45:00,20.97
2018-08-24 23:00:00,20.31
2018-08-24 23:15:00,20.03
2018-08-24 23:30:00,19.78
2018-08-24 23:45:00,19.69
2018-08-25 00:00:00,19.49
2018-08-25 00:15:00,19.6
2018-08-25 00:30:00,19.78
2018-08-25 00:45:00,19.59
2018-08-25 01:00:00,19.33
2018-08-25 01:15:00,19.26
2018-08-25 01:30:00,19.11
2018-08-25 01:45:00,18.8
2018-08-25 02:00:00,18.58
2018-08-25 02:15:00,18.7
2018-08-25 02:30:00,18.51
2018-08-25 02:45:00,18.31
2018-08-25 03:00:00,18.04
2018-08-25 03:15:00,17.91
2018-08-25 03:30:00,17.74
2018-08-25 03:45:00,17.48
2018-08-25 04:00:00,17.27
2018-08-25 04:15:00,17.32
2018-08-25 04:30:00,17.16
2018-08-25 04:45:00,17.14
2018-08-25 05:00:00,17.16
2018-08-25 05:15:00,17.19
2018-08-25 05:30:00,17.26
2018-08-25 05:45:00,17.24
2018-08-25 06:00:00,17.07
2018-08-25 06:15:00,17.18
2018-08-25 06:30:00,17.22
2018-08-25 06:45:00,17.24
2018-08-25 07:00:00,17.26
2018-08-25 07:15:00,17.24
2018-08-25 07:30:00,17.46
2018-08-25 07:45:00,17.79
2018-08-25 08:00:00,17.88
2018-08-25 08:15:00,18.25
2018-08-25 08:30:00,18.85
2018-08-25 08:45:00,19.25
2018-08-25 09:00:00,19.26
2018-08-25 09:15:00,19.3
