Date,SettlementPointPrice
2018-08-24 05:00:00,15.93
2018-08-24 05:15:00,16.38
2018-08-24 05:30:00,16.61
2018-08-24 05:45:00,16.94
2018-08-24 06:00:00,17.25
2018-08-24 06:15:00,17.67
2018-08-24 06:30:00,18.01
2018-08-24 06:45:00,18.13
2018-08-24 07:00:00,18.07
2018-08-24 07:15:00,17.82
2018-08-24 07:30:00,17.83
2018-08-24 07:45:00,17.82
2018-08-24 08:00:00,18.16
2018-08-24 08:15:00,18.6
2018-08-24 08:30:00,19.3
2018-08-24 08:45:00,19.25
2018-08-24 09:00:00,18.89
2018-08-24 09:15:00,18.78
2018-08-24 09:30:00,18.61
2018-08-24 09:45:00,16.78
2018-08-24 10:00:00,15.99
2018-08-24 10:15:00,16.91
2018-08-24 10:30:00,18.28
2018-08-24 10:45:00,18.62
2018-08-24 11:00:00,18.96
2018-08-24 11:15:00,18.5
2018-08-24 11:30:00,20.16
2018-08-24 11:45:00,21.73
2018-08-24 12:00:00,23.82
2018-08-24 12:15:00,24.81
2018-08-24 12:30:00,25.79
2018-08-24 12:45:00,27.76
2018-08-24 13:00:00,29.22
2018-08-24 13:15:00,29.38
2018-08-24 13:30:00,32.77
2018-08-24 13:45:00,34.86
2018-08-24 14:00:00,36.42
2018-08-24 14:15:00,38.86
2018-08-24 14:30:00,40.09
2018-08-24 14:45:00,41.26
2018-08-24 15:00:00,50.1
2018-08-24 15:15:00,52.01
2018-08-24 15:30:00,54.74
2018-08-24 15:45:00,114.5
2018-08-24 16:00:00,79.44
2018-08-24 16:15:00,69.64
2018-08-24 16:30:00,77.28
2018-08-24 16:45:00,74.45
2018-08-24 17:00:00,60.63
2018-08-24 17:15:00,56.24
2018-08-24 17:30:00,55.86
2018-08-24 17:45:00,52.76
2018-08-24 18:00:00,47.15
2018-08-24 18:15:00,43.15
2018-08-24 18:30:00,42.06
2018-08-24 18:45:00,40.68
2018-08-24 19:00:00,33.88
2018-08-24 19:15:00,41.38
2018-08-24 19:30:00,34.58
2018-08-24 19:45:00,31.95
2018-08-24 20:00:00,32.23
2018-08-24 20:15:00,32.54
2018-08-24 20:30:00,32.46
2018-08-24 20:45:00,30.6
2018-08-24 21:00:00,29.86
2018-08-24 21:15:00,28.49
2018-08-24 21:30:00,26.25
2018-08-24 21:45:00,24.45
2018-08-24 22:00:00,22.05
2018-08-24 22:15:00,21.28
2018-08-24 22:30:00,21.1
2018-08-24 22:45:00,20.35
2018-08-24 23:00:00,19.7
2018-08-24 23:15:00,19.42
2018-08-24 23:30:00,19.17
2018-08-24 23:45:00,19.08
2018-08-25 00:00:00,18.89
