Date,SettlementPointPrice
2018-08-24 05:00:00,15.1
2018-08-24 05:15:00,15.53
2018-08-24 05:30:00,15.75
2018-08-24 05:45:00,16.06
2018-08-24 06:00:00,16.36
2018-08-24 06:15:00,16.75
2018-08-24 06:30:00,17.08
2018-08-24 06:45:00,17.19
2018-08-24 07:00:00,17.14
2018-08-24 07:15:00,16.9
2018-08-24 07:30:00,16.91
2018-08-24 07:45:00,16.89
2018-08-24 08:00:00,17.26
2018-08-24 08:15:00,17.79
2018-08-24 08:30:00,19.17
2018-08-24 08:45:00,19.12
2018-08-24 09:00:00,18.69
2018-08-24 09:15:00,18.51
2018-08-24 09:30:00,18.28
2018-08-24 09:45:00,16.69
2018-08-24 10:00:00,16.04
2018-08-24 10:15:00,16.58
2018-08-24 10:30:00,17.9
2018-08-24 10:45:00,18.24
2018-08-24 11:00:00,18.5
2018-08-24 11:15:00,18.17
2018-08-24 11:30:00,19.43
2018-08-24 11:45:00,20.8
2018-08-24 12:00:00,22.99
2018-08-24 12:15:00,23.6
2018-08-24 12:30:00,25.01
2018-08-24 12:45:00,27.3
2018-08-24 13:00:00,28.89
2018-08-24 13:15:00,29.14
2018-08-24 13:30:00,32.79
2018-08-24 13:45:00,34.87
2018-08-24 14:00:00,36.43
2018-08-24 14:15:00,38.87
2018-08-24 14:30:00,40.11
2018-08-24 14:45:00,41.28
2018-08-24 15:00:00,50.29
2018-08-24 15:15:00,52.49
2018-08-24 15:30:00,55.25
2018-08-24 15:45:00,115.35
2018-08-24 16:00:00,80.11
2018-08-24 16:15:00,70.26
2018-08-24 16:30:00,77.93
2018-08-24 16:45:00,75.07
2018-08-24 17:00:00,61.16
2018-08-24 17:15:00,56.75
2018-08-24 17:30:00,56.37
2018-08-24 17:45:00,53.26
2018-08-24 18:00:00,47.63
2018-08-24 18:15:00,43.59
2018-08-24 18:30:00,42.51
2018-08-24 18:45:00,41.1
2018-08-24 19:00:00,34.24
2018-08-24 19:15:00,41.66
2018-08-24 19:30:00,34.88
2018-08-24 19:45:00,31.93
2018-08-24 20:00:00,32.28
2018-08-24 20:15:00,32.6
2018-08-24 20:30:00,32.51
2018-08-24 20:45:00,30.6
2018-08-24 21:00:00,29.86
2018-08-24 21:15:00,28.46
2018-08-24 21:30:00,26.23
2018-08-24 21:45:00,24.45
2018-08-24 22:00:00,21.78
2018-08-24 22:15:00,20.9
2018-08-24 22:30:00,20.71
2018-08-24 22:45:00,19.97
