Date,Close,Buy,Sell,p/l
2018-08-23 04:00:00,17.15,,,0.0
2018-08-23 04:15:00,17.23,17.15,,0.0
2018-08-23 04:30:00,17.11,,,0.0
2018-08-23 04:45:00,17.13,,,0.0
2018-08-23 05:00:00,17.24,,,0.0
2018-08-23 05:15:00,17.76,,,0.0
2018-08-23 05:30:00,18.04,,,0.0
2018-08-23 05:45:00,18.3,,,0.0
2018-08-23 06:00:00,18.56,,,0.0
2018-08-23 06:15:00,18.91,,,0.0
2018-08-23 06:30:00,19.38,,,0.0
2018-08-23 06:45:00,19.64,,,0.0
2018-08-23 07:00:00,19.48,,,0.0
2018-08-23 07:15:00,18.72,,,0.0
2018-08-23 07:30:00,18.58,,,0.0
2018-08-23 07:45:00,18.59,,,0.0
2018-08-23 08:00:00,18.28,,,0.0
2018-08-23 08:15:00,18.19,,,0.0
2018-08-23 08:30:00,18.79,,,0.0
2018-08-23 08:45:00,19.21,,,0.0
2018-08-23 09:00:00,19.29,,,0.0
2018-08-23 09:15:00,19.47,,,0.0
2018-08-23 09:30:00,19.57,,,0.0
2018-08-23 09:45:00,19.59,,,0.0
2018-08-23 10:00:00,19.68,,,0.0
2018-08-23 10:15:00,19.73,,,0.0
2018-08-23 10:30:00,19.99,,,0.0
2018-08-23 10:45:00,20.91,,,0.0
2018-08-23 11:00:00,21.59,,,0.0
2018-08-23 11:15:00,24.35,,,0.0
2018-08-23 11:30:00,22.89,,24.35,71.95850000000003
2018-08-23 11:45:00,24.88,22.89,,0.0
2018-08-23 12:00:00,25.07,,24.88,19.852229999999984
2018-08-23 12:15:00,27.41,25.07,,0.0
2018-08-23 12:30:00,27.8,,27.410000000000004,23.347520000000003
2018-08-23 12:45:00,28.64,27.8,,0.0
2018-08-23 13:00:00,29.74,,,0.0
2018-08-23 13:15:00,30.83,,,0.0
2018-08-23 13:30:00,31.54,,,0.0
2018-08-23 13:45:00,32.46,,,0.0
2018-08-23 14:00:00,36.57,,,0.0
2018-08-23 14:15:00,37.63,,36.57,87.63562999999998
2018-08-23 14:30:00,41.51,37.63,,0.0
2018-08-23 14:45:00,39.09,,41.51,38.72085999999995
2018-08-23 15:00:00,43.82,39.09,,0.0
2018-08-23 15:15:00,45.93,,43.82,47.21708999999997
2018-08-23 15:30:00,45.26,45.93,,0.0
2018-08-23 15:45:00,45.56,,,0.0
2018-08-23 16:00:00,45.66,,,0.0
2018-08-23 16:15:00,43.92,,,0.0
2018-08-23 16:30:00,44.83,,,0.0
2018-08-23 16:45:00,45.99,,44.83,-11.090760000000014
2018-08-23 17:00:00,45.28,45.99,,0.0
2018-08-23 17:15:00,40.74,,,0.0
2018-08-23 17:30:00,42.74,,,0.0
2018-08-23 17:45:00,45.04,,42.74,-32.58873
2018-08-23 18:00:00,42.76,45.04,,0.0
2018-08-23 18:15:00,38.53,,,0.0
2018-08-23 18:30:00,35.75,,,0.0
2018-08-23 18:45:00,34.76,,,0.0
2018-08-23 19:00:00,33.72,,,0.0
2018-08-23 19:15:00,34.45,,,0.0
2018-08-23 19:30:00,33.51,,34.45,-105.97948999999996
2018-08-23 19:45:00,33.16,33.51,,0.0
2018-08-23 20:00:00,32.49,,,0.0
2018-08-23 20:15:00,33.77,,,0.0
2018-08-23 20:30:00,33.18,,33.77,2.5327200000000505
2018-08-23 20:45:00,31.63,33.18,,0.0
2018-08-23 21:00:00,30.69,,,0.0
2018-08-23 21:15:00,30.0,,,0.0
2018-08-23 21:30:00,28.16,,,0.0
2018-08-23 21:45:00,26.02,,,0.0
2018-08-23 22:00:00,22.9,,,0.0
2018-08-23 22:15:00,21.38,,,0.0
2018-08-23 22:30:00,21.22,,,0.0
2018-08-23 22:45:00,21.0,,,0.0
2018-08-23 23:00:00,20.83,,,0.0
2018-08-23 23:15:00,20.85,,,0.0
2018-08-23 23:30:00,20.56,,,0.0
2018-08-23 23:45:00,20.05,,,0.0
2018-08-24 00:00:00,19.76,,,0.0
2018-08-24 00:15:00,19.69,,,0.0
2018-08-24 00:30:00,19.52,,,0.0
2018-08-24 00:45:00,19.1,,,0.0
2018-08-24 01:00:00,18.85,,,0.0
2018-08-24 01:15:00,18.93,,,0.0
2018-08-24 01:30:00,18.74,,,0.0
2018-08-24 01:45:00,18.41,,,0.0
2018-08-24 02:00:00,18.04,,,0.0
2018-08-24 02:15:00,17.86,,,0.0
2018-08-24 02:30:00,17.7,,,0.0
2018-08-24 02:45:00,17.35,,,0.0
2018-08-24 03:00:00,17.28,,,0.0
2018-08-24 03:15:00,17.02,,,0.0
2018-08-24 03:30:00,16.88,,,0.0
2018-08-24 03:45:00,16.75,,,0.0
2018-08-24 04:00:00,16.76,,,0.0
2018-08-24 04:15:00,16.76,,,0.0
