Date,SettlementPointPrice
2018-08-24 05:00:00,18.04
2018-08-24 05:15:00,18.52
2018-08-24 05:30:00,18.78
2018-08-24 05:45:00,19.13
2018-08-24 06:00:00,19.48
2018-08-24 06:15:00,19.93
2018-08-24 06:30:00,20.31
2018-08-24 06:45:00,20.43
2018-08-24 07:00:00,20.37
2018-08-24 07:15:00,20.1
2018-08-24 07:30:00,20.11
2018-08-24 07:45:00,20.13
2018-08-24 08:00:00,20.3
2018-08-24 08:15:00,20.37
2018-08-24 08:30:00,19.84
2018-08-24 08:45:00,19.84
2018-08-24 09:00:00,19.76
2018-08-24 09:15:00,19.89
2018-08-24 09:30:00,19.99
2018-08-24 09:45:00,19.27
2018-08-24 10:00:00,19.2
2018-08-24 10:15:00,20.26
2018-08-24 10:30:00,20.88
2018-08-24 10:45:00,21.06
2018-08-24 11:00:00,21.74
2018-08-24 11:15:00,22.38
2018-08-24 11:30:00,24.84
2018-08-24 11:45:00,26.76
2018-08-24 12:00:00,28.43
2018-08-24 12:15:00,30.12
2018-08-24 12:30:00,29.61
2018-08-24 12:45:00,30.1
2018-08-24 13:00:00,30.96
2018-08-24 13:15:00,30.7
2018-08-24 13:30:00,32.74
2018-08-24 13:45:00,34.77
2018-08-24 14:00:00,36.32
2018-08-24 14:15:00,38.76
2018-08-24 14:30:00,39.95
2018-08-24 14:45:00,41.0
2018-08-24 15:00:00,50.08
2018-08-24 15:15:00,52.67
2018-08-24 15:30:00,55.49
2018-08-24 15:45:00,116.1
2018-08-24 16:00:00,80.2
2018-08-24 16:15:00,70.34
2018-08-24 16:30:00,78.01
2018-08-24 16:45:00,75.57
2018-08-24 17:00:00,61.58
2018-08-24 17:15:00,57.16
2018-08-24 17:30:00,56.78
2018-08-24 17:45:00,53.66
2018-08-24 18:00:00,47.91
2018-08-24 18:15:00,43.95
2018-08-24 18:30:00,42.69
2018-08-24 18:45:00,41.28
2018-08-24 19:00:00,34.4
2018-08-24 19:15:00,41.91
2018-08-24 19:30:00,35.14
2018-08-24 19:45:00,32.06
2018-08-24 20:00:00,32.6
2018-08-24 20:15:00,32.92
2018-08-24 20:30:00,32.81
2018-08-24 20:45:00,30.8
2018-08-24 21:00:00,30.04
2018-08-24 21:15:00,28.57
2018-08-24 21:30:00,26.24
2018-08-24 21:45:00,24.45
2018-08-24 22:00:00,23.19
2018-08-24 22:15:00,22.93
2018-08-24 22:30:00,22.74
2018-08-24 22:45:00,21.97
2018-08-24 23:00:00,21.3
2018-08-24 23:15:00,21.01
2018-08-24 23:30:00,20.75
2018-08-24 23:45:00,20.66
2018-08-25 00:00:00,20.46
2018-08-25 00:15:00,20.57
2018-08-25 00:30:00,20.75
2018-08-25 00:45:00,20.56
2018-08-25 01:00:00,20.29
2018-08-25 01:15:00,20.23
2018-08-25 01:30:00,20.07
2018-08-25 01:45:00,19.76
2018-08-25 02:00:00,19.53
2018-08-25 02:15:00,19.66
2018-08-25 02:30:00,19.45
2018-08-25 02:45:00,19.24
2018-08-25 03:00:00,18.95
