Date,SettlementPointPrice
2018-08-24 05:00:00,15.68
2018-08-24 05:15:00,16.15
2018-08-24 05:30:00,16.39
2018-08-24 05:45:00,16.74
2018-08-24 06:00:00,17.07
2018-08-24 06:15:00,17.5
2018-08-24 06:30:00,17.87
2018-08-24 06:45:00,17.99
2018-08-24 07:00:00,17.93
2018-08-24 07:15:00,17.67
2018-08-24 07:30:00,17.67
2018-08-24 07:45:00,17.64
2018-08-24 08:00:00,18.19
2018-08-24 08:15:00,18.92
2018-08-24 08:30:00,18.85
2018-08-24 08:45:00,18.73
2018-08-24 09:00:00,18.12
2018-08-24 09:15:00,17.8
2018-08-24 09:30:00,17.44
2018-08-24 09:45:00,9.22
2018-08-24 10:00:00,4.65
2018-08-24 10:15:00,9.01
2018-08-24 10:30:00,13.66
2018-08-24 10:45:00,14.34
2018-08-24 11:00:00,14.42
2018-08-24 11:15:00,8.97
2018-08-24 11:30:00,12.48
2018-08-24 11:45:00,15.19
2018-08-24 12:00:00,17.05
2018-08-24 12:15:00,18.88
2018-08-24 12:30:00,21.15
2018-08-24 12:45:00,24.69
2018-08-24 13:00:00,26.86
2018-08-24 13:15:00,27.43
2018-08-24 13:30:00,32.54
2018-08-24 13:45:00,35.02
2018-08-24 14:00:00,36.58
2018-08-24 14:15:00,39.03
2018-08-24 14:30:00,40.32
2018-08-24 14:45:00,41.64
2018-08-24 15:00:00,50.75
2018-08-24 15:15:00,52.87
2018-08-24 15:30:00,55.57
2018-08-24 15:45:00,115.55
2018-08-24 16:00:00,80.77
2018-08-24 16:15:00,70.87
2018-08-24 16:30:00,78.58
2018-08-24 16:45:00,75.22
2018-08-24 17:00:00,61.27
2018-08-24 17:15:00,56.87
2018-08-24 17:30:00,56.48
2018-08-24 17:45:00,53.37
2018-08-24 18:00:00,47.84
2018-08-24 18:15:00,43.69
2018-08-24 18:30:00,42.82
2018-08-24 18:45:00,41.37
2018-08-24 19:00:00,34.49
2018-08-24 19:15:00,41.73
2018-08-24 19:30:00,34.95
2018-08-24 19:45:00,31.98
2018-08-24 20:00:00,32.39
2018-08-24 20:15:00,32.71
2018-08-24 20:30:00,32.61
2018-08-24 20:45:00,30.67
2018-08-24 21:00:00,29.92
2018-08-24 21:15:00,28.5
2018-08-24 21:30:00,26.24
2018-08-24 21:45:00,24.45
2018-08-24 22:00:00,21.04
2018-08-24 22:15:00,19.81
2018-08-24 22:30:00,19.63
2018-08-24 22:45:00,18.9
2018-08-24 23:00:00,18.27
2018-08-24 23:15:00,18.0
2018-08-24 23:30:00,17.76
2018-08-24 23:45:00,17.67
2018-08-25 00:00:00,17.49
2018-08-25 00:15:00,17.59
2018-08-25 00:30:00,17.77
2018-08-25 00:45:00,17.59
2018-08-25 01:00:00,17.34
2018-08-25 01:15:00,17.27
2018-08-25 01:30:00,17.13
2018-08-25 01:45:00,16.8
2018-08-25 02:00:00,16.62
2018-08-25 02:15:00,16.74
2018-08-25 02:30:00,16.59
2018-08-25 02:45:00,16.4
2018-08-25 03:00:00,16.16
2018-08-25 03:15:00,16.03
2018-08-25 03:30:00,15.86
2018-08-25 03:45:00,15.39
2018-08-25 04:00:00,14.95
2018-08-25 04:15:00,14.99
2018-08-25 04:30:00,14.84
2018-08-25 04:45:00,14.84
2018-08-25 05:00:00,14.85
2018-08-25 05:15:00,14.88
2018-08-25 05:30:00,14.95
2018-08-25 05:45:00,14.93
2018-08-25 06:00:00,14.77
2018-08-25 06:15:00,14.88
2018-08-25 06:30:00,14.91
2018-08-25 06:45:00,14.94
2018-08-25 07:00:00,14.96
2018-08-25 07:15:00,14.94
2018-08-25 07:30:00,15.15
2018-08-25 07:45:00,15.5
2018-08-25 08:00:00,15.6
2018-08-25 08:15:00,16.24
2018-08-25 08:30:00,16.89
2018-08-25 08:45:00,17.32
2018-08-25 09:00:00,17.1
2018-08-25 09:15:00,17.26
2018-08-25 09:30:00,17.52
2018-08-25 09:45:00,17.29
2018-08-25 10:00:00,17.15
2018-08-25 10:15:00,17.43
2018-08-25 10:30:00,17.49
2018-08-25 10:45:00,16.85
2018-08-25 11:00:00,18.27
2018-08-25 11:15:00,18.83
2018-08-25 11:30:00,18.45
2018-08-25 11:45:00,19.1
2018-08-25 12:00:00,22.08
2018-08-25 12:15:00,21.86
2018-08-25 12:30:00,22.1
2018-08-25 12:45:00,28.26
2018-08-25 13:00:00,31.66
2018-08-25 13:15:00,32.42
2018-08-25 13:30:00,33.42
2018-08-25 13:45:00,34.74
2018-08-25 14:00:00,34.85
2018-08-25 14:15:00,35.63
2018-08-25 14:30:00,36.26
2018-08-25 14:45:00,36.41
2018-08-25 15:00:00,36.66
2018-08-25 15:15:00,36.86
2018-08-25 15:30:00,37.24
2018-08-25 15:45:00,38.87
2018-08-25 16:00:00,39.27
2018-08-25 16:15:00,39.11
2018-08-25 16:30:00,37.44
2018-08-25 16:45:00,36.99
2018-08-25 17:00:00,36.61
2018-08-25 17:15:00,36.44
2018-08-25 17:30:00,34.19
2018-08-25 17:45:00,33.31
2018-08-25 18:00:00,31.74
2018-08-25 18:15:00,30.1
2018-08-25 18:30:00,29.53
2018-08-25 18:45:00,28.42
2018-08-25 19:00:00,27.85
2018-08-25 19:15:00,28.21
2018-08-25 19:30:00,28.38
2018-08-25 19:45:00,28.23
2018-08-25 20:00:00,29.53
2018-08-25 20:15:00,30.76
2018-08-25 20:30:00,32.03
2018-08-25 20:45:00,31.55
2018-08-25 21:00:00,30.39
2018-08-25 21:15:00,26.42
2018-08-25 21:30:00,26.35
2018-08-25 21:45:00,24.64
2018-08-25 22:00:00,21.02
2018-08-25 22:15:00,20.38
2018-08-25 22:30:00,20.6
2018-08-25 22:45:00,19.18
2018-08-25 23:00:00,18.34
2018-08-25 23:15:00,18.57
2018-08-25 23:30:00,18.59
2018-08-25 23:45:00,18.3
2018-08-26 00:00:00,17.94
2018-08-26 00:15:00,18.48
2018-08-26 00:30:00,19.58
