Date,SettlementPointPrice
2018-08-24 05:00:00,18.77
2018-08-24 05:15:00,19.25
2018-08-24 05:30:00,19.51
2018-08-24 05:45:00,19.85
2018-08-24 06:00:00,20.19
2018-08-24 06:15:00,20.66
2018-08-24 06:30:00,21.03
2018-08-24 06:45:00,21.14
2018-08-24 07:00:00,21.07
2018-08-24 07:15:00,20.8
2018-08-24 07:30:00,20.81
2018-08-24 07:45:00,20.92
2018-08-24 08:00:00,20.99
2018-08-24 08:15:00,20.85
2018-08-24 08:30:00,20.15
2018-08-24 08:45:00,20.19
2018-08-24 09:00:00,20.27
2018-08-24 09:15:00,20.58
2018-08-24 09:30:00,20.87
2018-08-24 09:45:00,20.65
2018-08-24 10:00:00,20.95
2018-08-24 10:15:00,22.27
2018-08-24 10:30:00,22.54
2018-08-24 10:45:00,22.6
2018-08-24 11:00:00,23.5
2018-08-24 11:15:00,24.71
2018-08-24 11:30:00,27.74
2018-08-24 11:45:00,29.93
2018-08-24 12:00:00,31.2
2018-08-24 12:15:00,33.66
2018-08-24 12:30:00,32.19
2018-08-24 12:45:00,31.65
2018-08-24 13:00:00,32.11
2018-08-24 13:15:00,31.53
2018-08-24 13:30:00,32.72
2018-08-24 13:45:00,34.73
2018-08-24 14:00:00,36.28
2018-08-24 14:15:00,38.71
2018-08-24 14:30:00,39.91
2018-08-24 14:45:00,40.98
2018-08-24 15:00:00,54.81
2018-08-24 15:15:00,66.82
2018-08-24 15:30:00,70.58
2018-08-24 15:45:00,141.91
2018-08-24 16:00:00,99.28
2018-08-24 16:15:00,87.99
2018-08-24 16:30:00,96.57
2018-08-24 16:45:00,94.42
2018-08-24 17:00:00,77.57
2018-08-24 17:15:00,72.58
2018-08-24 17:30:00,72.09
2018-08-24 17:45:00,68.66
2018-08-24 18:00:00,61.82
2018-08-24 18:15:00,57.09
2018-08-24 18:30:00,55.47
2018-08-24 18:45:00,53.12
2018-08-24 19:00:00,44.63
2018-08-24 19:15:00,50.71
2018-08-24 19:30:00,44.1
2018-08-24 19:45:00,32.61
2018-08-24 20:00:00,32.13
2018-08-24 20:15:00,32.44
2018-08-24 20:30:00,32.4
2018-08-24 20:45:00,30.86
2018-08-24 21:00:00,30.17
2018-08-24 21:15:00,29.0
2018-08-24 21:30:00,26.5
2018-08-24 21:45:00,24.45
2018-08-24 22:00:00,23.9
2018-08-24 22:15:00,23.94
2018-08-24 22:30:00,23.76
2018-08-24 22:45:00,22.98
2018-08-24 23:00:00,22.29
2018-08-24 23:15:00,22.01
2018-08-24 23:30:00,21.75
